epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.77448,1.55016,2.78326,1.56336,0.33069,0.85841,0.32213,0.18109,1.40388,2.9753,1.22804,0.000657407,0.000657407,0.000657407
2,13.4835,1.20291,1.43268,1.22959,0.99694,1,0.995,0.44654,1.93272,1.27223,1.59958,0.00129786,0.00129786,0.00129786
3,19.0298,1.19377,1.10608,1.21834,0.94027,0.97518,0.98376,0.64137,1.25175,0.98354,1.18988,0.00191191,0.00191191,0.00191191
4,24.3916,1.15227,0.9038,1.18744,0.9883,0.99115,0.99438,0.68964,1.14143,0.61861,1.09843,0.0018812,0.0018812,0.0018812
5,29.7694,1.06645,0.77841,1.13886,0.99588,0.9823,0.99491,0.42083,2.15566,0.78149,1.71854,0.0018416,0.0018416,0.0018416
6,35.1908,1.02733,0.68782,1.1039,0.99049,1,0.99482,0.51481,1.7811,0.66096,1.4726,0.001802,0.001802,0.001802
7,40.5983,1.03338,0.6587,1.10985,0.99788,1,0.995,0.75597,0.93909,0.49908,1.00608,0.0017624,0.0017624,0.0017624
8,45.8794,0.95229,0.59669,1.08063,0.99782,0.9823,0.99491,0.67255,1.14553,0.49245,1.08641,0.0017228,0.0017228,0.0017228
9,51.2519,0.93502,0.57285,1.0642,0.99921,0.99115,0.995,0.64246,1.22138,0.4748,1.10801,0.0016832,0.0016832,0.0016832
10,56.6496,0.92726,0.565,1.06617,0.99869,1,0.995,0.73728,1.02943,0.46263,1.05351,0.0016436,0.0016436,0.0016436
11,62.0777,0.93605,0.56428,1.06497,0.99816,1,0.995,0.77009,0.86318,0.45132,0.96735,0.001604,0.001604,0.001604
12,67.4097,0.90267,0.54231,1.04621,0.99941,1,0.995,0.7101,1.04945,0.42496,1.03388,0.0015644,0.0015644,0.0015644
13,72.7298,0.85691,0.49935,1.02737,0.99926,1,0.995,0.59505,1.47685,0.51976,1.24962,0.0015248,0.0015248,0.0015248
14,78.1065,0.86065,0.50235,1.02658,0.99989,1,0.995,0.74642,0.97907,0.41097,0.9855,0.0014852,0.0014852,0.0014852
15,83.439,0.83919,0.48472,1.01034,0.99877,1,0.995,0.67377,1.20264,0.47021,1.09318,0.0014456,0.0014456,0.0014456
